"hour","datetime","funny_total","funny_online","askscience_total","askscience_online","TodayILearned_total","TodayILearned_online","gonewild_total","gonewild_online","firstworldanarchists_total","firstworldanarchists_online","buildapc_total","buildapc_online","dataisbeautiful_total","dataisbeautiful_online","calvinandhobbes_total","calvinandhobbes_online","sixworldstories_total","sixworldstories_online","ExplainLikeIAmA_total","ExplainLikeIAmA_online"
"952","2/9 16:0","5311022","25591","1929993","2677","4986312","12832","556299","3403","190474","128","181191","1067","155188","277","74867","30","18648","18","84316","70"
"953","2/9 17:0","5311402","22351","1930398","2450","4986728","13473","556331","3212","190482","108","181198","1079","155196","218","74868","30","18651","27","84322","77"
"954","2/9 18:0","5311777","23488","1930801","2393","4987103","15194","556362","3130","190484","100","181213","1041","155206","198","74870","38","18651","16","84322","68"
"955","2/9 19:0","5312148","29013","1931198","2187","4987491","12533","556397","3099","190492","95","181231","1094","155219","180","74873","29","18653","24","84328","77"
"956","2/9 20:0","5312569","32395","1931629","2111","4987913","11891","556425","3268","190499","82","181244","1109","155227","210","74875","28","18654","30","84332","76"
"957","2/9 21:0","5312912","31119","1932000","2084","4988271","12773","556464","3898","190503","98","181258","1047","155236","185","74882","39","18655","28","84337","88"
"958","2/9 22:0","5313316","24855","1932410","1892","4988691","13436","556485","4178","190515","94","181269","993","155245","133","74885","32","18655","28","84339","108"
"959","2/9 23:0","5313640","22486","1932761","1777","4989024","11434","556520","3596","190528","71","181277","922","155252","139","74887","27","18658","23","84341","105"
"960","2/10 0:0","5313941","16388","1933072","2259","4989342","8113","556567","3175","190538","61","181288","726","155258","132","74888","30","18659","17","84346","87"
"961","2/10 1:0","5314166","13707","1933298","2339","4989584","6143","556594","2558","190538","56","181296","578","155262","87","74888","18","18658","16","84348","74"
"962","2/10 2:0","5314370","10253","1933510","1979","4989791","4723","556632","1867","190541","51","181302","453","155268","81","74888","14","18658","10","84349","60"
"963","2/10 3:0","5314516","8528","1933673","1613","4989947","3926","556640","1565","190544","32","181310","373","155271","68","74888","17","18660","12","84349","61"
"964","2/10 4:0","5314673","8436","1933838","1573","4990108","3788","556653","1499","190549","39","181313","385","155275","68","74889","16","18661","11","84349","54"
"965","2/10 5:0","5314825","9731","1933991","1811","4990270","4321","556661","1839","190552","52","181316","429","155275","158","74890","19","18661","12","84350","67"
"966","2/10 6:0","5314990","12505","1934174","2132","4990453","5107","556673","2339","190554","52","181321","526","155279","83","74891","15","18663","11","84350","67"
"967","2/10 7:0","5315168","12290","1934370","2429","4990647","6382","556680","2531","190554","51","181330","695","155290","71","74890","14","18663","11","84351","82"
"968","2/10 8:0","5315391","13523","1934613","2480","4990893","7777","556687","2594","190560","63","181333","745","155294","87","74888","27","18664","11","84350","95"
"969","2/10 9:0","5315642","12742","1934884","2475","4991179","12235","556697","2842","190562","81","181340","757","155301","105","74886","26","18668","14","84350","115"
"970","2/10 10:0","5315920","18734","1935167","2230","4991459","12320","556707","2834","190565","72","181350","712","155312","230","74885","17","18667","14","84351","132"
"971","2/10 11:0","5316255","20070","1935530","2413","4991813","11448","556716","2759","190575","125","181358","713","155323","295","74890","23","18670","15","84350","118"
"972","2/10 12:0","5316621","21430","1935914","2449","4992188","11521","556720","2757","190582","158","181367","713","155332","278","74894","28","18671","24","84351","122"
"973","2/10 13:0","5316932","22788","1936254","2792","4992532","11342","556735","2724","190575","248","181383","690","155343","284","74893","23","18673","11","84357","141"
"974","2/10 14:0","5317270","24330","1936617","3721","4992899","10112","556753","2757","190570","422","181392","672","155355","240","74895","27","18675","15","84360","184"
"975","2/10 15:0","5317619","26195","1936978","3216","4993258","10737","556779","2970","190571","441","181409","669","155362","244","74894","26","18679","12","84362","227"
"976","2/10 16:0","5317975","29613","1937354","3647","4993643","7945","556807","3086","190577","387","181420","713","155368","199","74895","20","18678","15","84362","247"
"977","2/10 17:0","5318332","27981","1937720","4237","4994011","8250","556833","3559","190594","394","181424","684","155378","189","74898","20","18680","18","84362","236"
"978","2/10 18:0","5318666","23320","1938075","3973","4994370","7278","556861","3090","190599","363","181431","639","155386","212","74896","12","18681","14","84364","259"
"979","2/10 19:0","5319017","25881","1938425","4224","4994721","7702","556898","3120","190602","352","181434","648","155399","194","74898","18","18686","25","84365","278"
"980","2/10 20:0","5319413","26150","1938854","4254","4995147","7736","556932","3740","190611","347","181444","650","155408","166","74897","23","18688","22","84367","276"
"981","2/10 21:0","5319760","25016","1939213","3719","4995505","8158","556947","4043","190625","254","181448","654","155414","178","74902","28","18687","24","84375","225"
"982","2/10 22:0","5320089","24367","1939566","3029","4995851","9018","556962","4449","190630","228","181459","671","155423","157","74900","27","18688","26","84376","208"
"983","2/10 23:0","5320390","22381","1939871","2590","4996158","9090","557003","4061","190642","198","181470","626","155429","112","74900","10","18688","23","84380","175"
"991","2/11 7:0","5320653","18627","1940150","1934","4996430","9065","557035","3447","190653","150","181475","575","155433","99","74903","12","18689","14","84385","124"
"992","2/11 8:0","5320851","15894","1940364","1647","4996649","7447","557058","2648","190655","100","181478","496","155437","73","74904","9","18689","16","84388","120"
"993","2/11 9:0","5321018","10748","1940538","1355","4996841","6036","557079","2026","190656","88","181480","358","155437","67","74905","16","18690","7","84390","82"
"994","2/11 10:0","5321185","8374","1940706","1102","4997017","5251","557083","1608","190659","74","181488","330","155439","52","74904","10","18690","12","84394","71"
"995","2/11 11:0","5321330","8084","1940858","1091","4997163","4492","557087","1591","190664","73","181493","324","155440","48","74904","7","18690","9","84397","69"
"996","2/11 12:0","5321473","9809","1941008","1172","4997318","4888","557109","2038","190669","66","181494","361","155441","62","74902","8","18691","12","84399","70"
"997","2/11 13:0","5321630","11507","1941195","1382","4997492","5622","557127","2334","190674","85","181503","405","155439","57","74901","11","18691","10","84400","73"
"998","2/11 14:0","5321830","14099","1941413","1438","4997708","6397","557131","2448","190681","100","181510","494","155442","84","74902","14","18690","17","84402","89"
"999","2/11 15:0","5322030","22305","1941644","1679","4997928","7632","557142","2730","190682","134","181521","540","155443","224","74901","15","18690","14","84402","100"
"1000","2/11 16:0","5322334","24510","1941954","1937","4998250","9650","557143","2853","190686","187","181531","645","155452","284","74902","25","18692","16","84402","100"
